engine,action_id,run_id,payment_intent_id,related_attempt_id,action_type,retry_number,scheduled_for,executed_at,created_at,outcome,reason,schedule_reason,failure_code,failure_reason,payment_method,customer_declined,amount,cost,expected_recovery,metadata_json,source
BASELINE,81f27e1d-766f-458b-a878-067804ff19db,b03c9435-7d22-4661-9631-eb6061fe7f2c,77bca706-4389-4b4f-b457-c8d29c933d1c,,RETRY,1,2024-12-26T00:00:00+00:00,2026-09-04T11:59:22.887055+00:00,2026-09-04T11:59:22.123967+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,UPI,False,14340.22,,,"{'outcome': 'SETTLED', 'intent_id': '77bca706-4389-4b4f-b457-c8d29c933d1c', 'person_id': 'd234d01c-4b62-4d27-8bca-cd721047c0ea', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:22.887055+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '3081bf1c-98a7-4ea1-855e-e67b99d49fea', 'failure_timestamp': '2024-12-25T12:00:00+00:00', 'primary_account_id': 'd03e3a08-d5ce-4ddf-9dfa-82c2b3939ca9'}",lifetime
BASELINE,74319c5b-54fa-4416-819d-28684322fc69,b03c9435-7d22-4661-9631-eb6061fe7f2c,7def4790-a6ff-4fbe-99d0-131547384be6,,RETRY,2,2024-12-25T13:00:00+00:00,2026-09-04T11:59:22.185562+00:00,2026-09-04T11:59:21.555685+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,CARD,False,7028.20,,,"{'outcome': 'SETTLED', 'intent_id': '7def4790-a6ff-4fbe-99d0-131547384be6', 'person_id': 'd948c1fe-b164-4fc5-9a29-b5ace565b625', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:22.185562+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 2, 'retry_attempt_id': 'eabddbf3-20f2-4d03-ad08-4797c737bfaf', 'failure_timestamp': '2024-12-25T01:00:00+00:00', 'primary_account_id': 'a78fbe11-365e-48bf-b7d8-5de126762d12'}",lifetime
BASELINE,8cb71a77-2d33-49c3-8753-2927550eab53,b03c9435-7d22-4661-9631-eb6061fe7f2c,54fcc71c-3334-4cef-a393-6a404310211a,,RETRY,1,2024-12-24T01:00:00+00:00,2026-09-04T11:59:20.253053+00:00,2026-09-04T11:59:19.663757+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,UPI,False,6916.02,,,"{'outcome': 'SETTLED', 'intent_id': '54fcc71c-3334-4cef-a393-6a404310211a', 'person_id': '56ba0775-c47f-4e5b-970b-cffa63c18111', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:20.253053+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '96ac7f4d-d5f5-4e0d-b3c5-c84a1cc6c7f1', 'failure_timestamp': '2024-12-23T13:00:00+00:00', 'primary_account_id': '79c122ed-de5d-486b-a14a-a1ed2feca994'}",lifetime
BASELINE,ae882360-0049-49ea-a163-dec649866130,b03c9435-7d22-4661-9631-eb6061fe7f2c,13b283e7-017b-4dac-a0c0-78b5f37e137a,,RETRY,1,2024-12-22T07:00:00+00:00,2026-09-04T11:59:18.007018+00:00,2026-09-04T11:59:17.709863+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,UPI,False,1290.41,,,"{'outcome': 'SETTLED', 'intent_id': '13b283e7-017b-4dac-a0c0-78b5f37e137a', 'person_id': 'f3d666c7-d6d0-4335-a2de-e9cbeac936bc', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:18.007018+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '9d395c06-edf3-46f8-9dcc-bb75b98ec556', 'failure_timestamp': '2024-12-21T19:00:00+00:00', 'primary_account_id': 'e11a64b8-d15e-44d7-83ad-5f682a7b7b54'}",lifetime
BASELINE,48de281f-545b-4fa3-874b-4faddce1ada9,b03c9435-7d22-4661-9631-eb6061fe7f2c,1e0f3eb4-1311-4e71-8b82-b17d6df15469,,RETRY,1,2024-12-21T23:00:00+00:00,2026-09-04T11:59:17.927035+00:00,2026-09-04T11:59:17.042500+00:00,SUCCESS,retry_scheduled,retry_scheduled,ISSUER_DECLINE,Temporary decline by issuing bank,UPI,False,2215.57,,,"{'outcome': 'SETTLED', 'intent_id': '1e0f3eb4-1311-4e71-8b82-b17d6df15469', 'person_id': 'defb9797-327f-425d-a0c1-59bce87847f1', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:17.927035+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '06877640-3ca4-415d-a78b-52c17fb466ea', 'failure_timestamp': '2024-12-21T11:00:00+00:00', 'primary_account_id': '8eb88495-3dc1-48a4-94d8-e22bdcdb05c1'}",lifetime
BASELINE,9db4b979-0d44-4b64-a582-345636e19b5a,b03c9435-7d22-4661-9631-eb6061fe7f2c,9dcd2f5a-d9ff-45ad-8491-5e610d3341db,,RETRY,2,2024-12-20T10:00:00+00:00,2026-09-04T11:59:15.623308+00:00,2026-09-04T11:59:15.411698+00:00,SUCCESS,retry_scheduled,retry_scheduled,INSUFFICIENT_FUNDS,Customer balance insufficient at retry time,UPI,False,588.82,,,"{'outcome': 'SETTLED', 'intent_id': '9dcd2f5a-d9ff-45ad-8491-5e610d3341db', 'person_id': '13c56f3b-105f-469c-9e51-96b872af2e74', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:15.623308+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 2, 'retry_attempt_id': '9c533cc6-1382-46d8-acc9-46b80661dbc9', 'failure_timestamp': '2024-12-19T22:00:00+00:00', 'primary_account_id': 'c38c5897-cf6b-4d84-8ecc-8eff25b2042b'}",lifetime
BASELINE,694aead4-a6cb-4e19-8f66-aa27f8cfc750,b03c9435-7d22-4661-9631-eb6061fe7f2c,251d2410-9641-44ad-b676-17b2d63ca792,,RETRY,2,2024-12-19T13:00:00+00:00,2026-09-04T11:59:14.881601+00:00,2026-09-04T11:59:14.284578+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,NETBANKING,False,2106.61,,,"{'outcome': 'SETTLED', 'intent_id': '251d2410-9641-44ad-b676-17b2d63ca792', 'person_id': '04ce9401-84d5-4ca8-9a21-6a7162da843f', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:14.881601+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 2, 'retry_attempt_id': 'daa531cc-8868-4aa5-bb1a-1d439381ffc3', 'failure_timestamp': '2024-12-19T01:00:00+00:00', 'primary_account_id': '5e686fcb-400a-4d09-b35b-4cee84db995b'}",lifetime
BASELINE,8f4d3b73-45e2-4e94-a106-e41671a8c86a,b03c9435-7d22-4661-9631-eb6061fe7f2c,8a3180e8-1a7c-4c82-9eca-99aaae045680,,RETRY,1,2024-12-19T05:00:00+00:00,2026-09-04T11:59:14.317402+00:00,2026-09-04T11:59:13.916402+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,UPI,False,8616.97,,,"{'outcome': 'SETTLED', 'intent_id': '8a3180e8-1a7c-4c82-9eca-99aaae045680', 'person_id': 'defb9797-327f-425d-a0c1-59bce87847f1', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:14.317402+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': 'a20b0519-7b70-474f-868b-aaeb77bdefd1', 'failure_timestamp': '2024-12-18T17:00:00+00:00', 'primary_account_id': '8eb88495-3dc1-48a4-94d8-e22bdcdb05c1'}",lifetime
BASELINE,e5d53a1e-ba2a-4d49-8e87-6a2b3dff5264,b03c9435-7d22-4661-9631-eb6061fe7f2c,a2726b24-d852-4235-92ce-06b0df7e2202,,RETRY,1,2024-12-19T05:00:00+00:00,2026-09-04T11:59:14.318422+00:00,2026-09-04T11:59:13.912892+00:00,SUCCESS,retry_scheduled,retry_scheduled,NETWORK_ERROR,Network / connectivity failure,UPI,False,1831.88,,,"{'outcome': 'SETTLED', 'intent_id': 'a2726b24-d852-4235-92ce-06b0df7e2202', 'person_id': '5fcd48f6-b9c8-4286-a732-7271da68e3fa', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:14.318422+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': 'e766e4fd-9dc5-4b7f-a549-162a5cb81d60', 'failure_timestamp': '2024-12-18T17:00:00+00:00', 'primary_account_id': '054bd340-a877-4588-9bc9-068e735a3e96'}",lifetime
BASELINE,f70a1654-4147-4cba-92ba-5029ba353ff3,b03c9435-7d22-4661-9631-eb6061fe7f2c,74bb0021-68d4-4aec-b038-f47beaff010f,,RETRY,2,2024-12-18T20:00:00+00:00,2026-09-04T11:59:14.086621+00:00,2026-09-04T11:59:13.108911+00:00,SUCCESS,retry_scheduled,retry_scheduled,CANCELLED,Customer cancelled / abandoned,UPI,False,1323.72,,,"{'outcome': 'SETTLED', 'intent_id': '74bb0021-68d4-4aec-b038-f47beaff010f', 'person_id': '8d0a8eb0-8c8a-42bf-b834-982b6cd6ea2c', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:14.086621+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 2, 'retry_attempt_id': 'e1d09860-0111-41b2-b35a-64c9a7b9962c', 'failure_timestamp': '2024-12-18T08:00:00+00:00', 'primary_account_id': 'deced3eb-e3ee-4746-8e39-d1f4721281ed'}",lifetime
BASELINE,09e7cde5-b2ec-421d-96f6-3fa12214d7aa,b03c9435-7d22-4661-9631-eb6061fe7f2c,bb10d54d-0fc4-4df5-8135-5e4185454e2b,,RETRY,2,2024-12-18T10:00:00+00:00,2026-09-04T11:59:13.205744+00:00,2026-09-04T11:59:12.993047+00:00,SUCCESS,retry_scheduled,retry_scheduled,INSUFFICIENT_FUNDS,Customer balance insufficient at retry time,UPI,False,140.42,,,"{'outcome': 'SETTLED', 'intent_id': 'bb10d54d-0fc4-4df5-8135-5e4185454e2b', 'person_id': '047ee569-444f-446a-8cac-bbd2669d88ba', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:13.205744+00:00', 'merchant_id': '84c13ae1-c012-426f-8893-a1fc7f183c3c', 'inline_retry': True, 'retry_number': 2, 'retry_attempt_id': '725fab38-ccb2-4136-8b86-6f6a472474f4', 'failure_timestamp': '2024-12-17T22:00:00+00:00', 'primary_account_id': 'b8428bb8-65ae-4044-94bb-f4ff3dc9bae0'}",lifetime
BASELINE,519e5855-e700-4f40-aa67-2c7052043881,b03c9435-7d22-4661-9631-eb6061fe7f2c,0cd67967-918c-4b79-a651-604918f73a51,,RETRY,1,2024-12-17T22:00:00+00:00,2026-09-04T11:59:12.859834+00:00,2026-09-04T11:59:11.976741+00:00,SUCCESS,retry_scheduled,retry_scheduled,ISSUER_DECLINE,Temporary decline by issuing bank,CARD,False,2862.56,,,"{'outcome': 'SETTLED', 'intent_id': '0cd67967-918c-4b79-a651-604918f73a51', 'person_id': 'e0274d9c-1cb7-47f9-aebb-84cf78dc4e2f', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:12.859834+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '405e618f-e92d-46a1-b1d4-596c4d748e18', 'failure_timestamp': '2024-12-17T10:00:00+00:00', 'primary_account_id': 'b5fdc58d-7c5d-4f55-83a4-a3d83f7fd508'}",lifetime
BASELINE,38eea99f-1494-4a6c-af8b-33e3ed34dd67,b03c9435-7d22-4661-9631-eb6061fe7f2c,2bb85fe2-cf06-48c9-abd2-fe479ef1b667,,RETRY,1,2024-12-17T04:00:00+00:00,2026-09-04T11:59:11.632365+00:00,2026-09-04T11:59:11.071576+00:00,SUCCESS,retry_scheduled,retry_scheduled,RISK_DECLINE,Blocked for suspected fraud / risk,UPI,False,4510.08,,,"{'outcome': 'SETTLED', 'intent_id': '2bb85fe2-cf06-48c9-abd2-fe479ef1b667', 'person_id': '04ce9401-84d5-4ca8-9a21-6a7162da843f', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:11.632365+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': 'd1faa180-144d-4922-948c-6abdb64f0246', 'failure_timestamp': '2024-12-16T16:00:00+00:00', 'primary_account_id': '5e686fcb-400a-4d09-b35b-4cee84db995b'}",lifetime
BASELINE,ab59763a-a7c1-4c3c-aa15-475d9d7c3bdc,b03c9435-7d22-4661-9631-eb6061fe7f2c,720151e1-f755-4971-ab95-d9bdc2d7139b,,RETRY,1,2024-12-17T03:00:00+00:00,2026-09-04T11:59:11.601807+00:00,2026-09-04T11:59:10.974938+00:00,SUCCESS,retry_scheduled,retry_scheduled,INVALID_DETAILS,Incorrect payment details (CVV/account),UPI,False,21895.05,,,"{'outcome': 'SETTLED', 'intent_id': '720151e1-f755-4971-ab95-d9bdc2d7139b', 'person_id': '0b92ae91-4318-4018-b237-884919f1b389', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:11.601807+00:00', 'merchant_id': 'e9b48d21-dfdc-49e9-8e19-89a3a378906b', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': 'bf484491-0ec1-4e2a-aac5-d82df0b6868c', 'failure_timestamp': '2024-12-16T15:00:00+00:00', 'primary_account_id': '08f4c7e2-40a5-4961-936d-31cbfb2da3c9'}",lifetime
BASELINE,b87df21f-a4c3-44c1-b4a0-e0fa4ea710ce,b03c9435-7d22-4661-9631-eb6061fe7f2c,e09ea60c-32e3-4bee-9b8b-8c996f414b1d,,RETRY,1,2024-12-17T01:00:00+00:00,2026-09-04T11:59:11.567025+00:00,2026-09-04T11:59:10.816925+00:00,SUCCESS,retry_scheduled,retry_scheduled,INVALID_DETAILS,Incorrect payment details (CVV/account),UPI,False,1835.05,,,"{'outcome': 'SETTLED', 'intent_id': 'e09ea60c-32e3-4bee-9b8b-8c996f414b1d', 'person_id': '1e88f024-3b73-44dc-ac9d-26c157fc8311', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:11.567025+00:00', 'merchant_id': 'faa699dd-6b0a-4f75-b965-1ace37226cf7', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '820b9550-4290-4c4e-98a1-5fb4e4c9c145', 'failure_timestamp': '2024-12-16T13:00:00+00:00', 'primary_account_id': '19d87f37-7ce0-4359-98d1-a797b015f80d'}",lifetime
BASELINE,5370bc72-ce4f-4e11-9764-699e01d840c7,b03c9435-7d22-4661-9631-eb6061fe7f2c,a05e421b-498f-42e4-8031-ce1a725fe1d9,,RETRY,1,2024-12-16T22:00:00+00:00,2026-09-04T11:59:11.348660+00:00,2026-09-04T11:59:10.443547+00:00,SUCCESS,retry_scheduled,retry_scheduled,ISSUER_DECLINE,Temporary decline by issuing bank,UPI,False,140.42,,,"{'outcome': 'SETTLED', 'intent_id': 'a05e421b-498f-42e4-8031-ce1a725fe1d9', 'person_id': '35f9b1ac-6b34-4c88-8c31-dd3c3d6ee8e8', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:11.348660+00:00', 'merchant_id': '84c13ae1-c012-426f-8893-a1fc7f183c3c', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': 'de2cc4f8-da1b-4f98-9afc-570f4913c5c7', 'failure_timestamp': '2024-12-16T10:00:00+00:00', 'primary_account_id': '0c8c4558-c22a-49ad-ae68-8c6d072cabc3'}",lifetime
BASELINE,635c9b51-86ff-400d-a4b9-6ff75ced5177,b03c9435-7d22-4661-9631-eb6061fe7f2c,d4f3960e-2b97-4059-bfb5-70b01363340e,,RETRY,1,2024-12-16T22:00:00+00:00,2026-09-04T11:59:11.388059+00:00,2026-09-04T11:59:10.440548+00:00,SUCCESS,retry_scheduled,retry_scheduled,ISSUER_DECLINE,Temporary decline by issuing bank,NETBANKING,False,140.42,,,"{'outcome': 'SETTLED', 'intent_id': 'd4f3960e-2b97-4059-bfb5-70b01363340e', 'person_id': '8d0a8eb0-8c8a-42bf-b834-982b6cd6ea2c', 'bank_state': 'NORMAL', 'executed_at': '2026-09-04T11:59:11.388059+00:00', 'merchant_id': '84c13ae1-c012-426f-8893-a1fc7f183c3c', 'inline_retry': True, 'retry_number': 1, 'retry_attempt_id': '21531211-3c53-4c88-89d9-9599a81c0d83', 'failure_timestamp': '2024-12-16T10:00:00+00:00', 'primary_account_id': 'deced3eb-e3ee-4746-8e39-d1f4721281ed'}",lifetime
